C:\Users\ryuno\OneDrive\Desktop\drift-analysis>python drift_analysis.py
Encoder target = 100

======================================================================
FORWARD DRIFT TABLE
(drift = abs(encoder reading) - encoder target)
======================================================================
   Speed |   ENC1 Drift |   ENC2 Drift
      99 |           14 |           21
     100 |           16 |           21
     101 |           16 |           21
     102 |           17 |           22
     103 |           16 |           22
     104 |           16 |           22
     105 |           17 |           22
     106 |           18 |           23
     107 |           19 |           23
     108 |           18 |           23
     109 |           14 |           24
     110 |           19 |           24
     111 |           12 |           24
     112 |           17 |           24
     113 |           16 |           24
     114 |           19 |           24
     115 |           17 |           26
     116 |           20 |           25
     117 |           20 |           25
     118 |           21 |           25
     119 |           22 |           27
     120 |           19 |           26
     121 |           21 |           28
     122 |           23 |           27
     123 |           21 |           28
     124 |           23 |           27
     125 |           21 |           29
     126 |           22 |           28
     127 |           22 |           27
     128 |           25 |           28
     129 |           21 |           28
     130 |           26 |           29
     131 |           23 |           30
     132 |           23 |           29
     133 |           24 |           29
     134 |           24 |           30
     135 |           25 |           29
     136 |           25 |           31
     137 |           26 |           30
     138 |           26 |           31
     139 |           24 |           29
     140 |           28 |           32
     141 |           22 |           30
     142 |           28 |           32
     143 |           28 |           33
     144 |           27 |           32
     145 |           28 |           34
     146 |           28 |           33
     147 |           29 |           34
     148 |           30 |           33
     149 |           27 |           35
     150 |           26 |           33
     151 |           27 |           34
     152 |           30 |           35
     153 |           31 |           36
     154 |           26 |           34
     155 |           29 |           37
     156 |           29 |           34
     157 |           32 |           36
     158 |           33 |           36
     159 |           32 |           36
     160 |           33 |           36
     161 |           32 |           37
     162 |           34 |           35
     163 |           27 |           38
     164 |           32 |           37
     165 |           28 |           34
     166 |           30 |           36
     167 |           30 |           39
     168 |           33 |           38
     169 |           33 |           38
     170 |           30 |           38
     171 |           33 |           39
     172 |           30 |           38
     173 |           35 |           39
     174 |           31 |           39
     175 |           35 |           40
     176 |           31 |           38
     177 |           35 |           39
     178 |           31 |           39
     179 |           36 |           40
     180 |           28 |           37
     181 |           33 |           39
     182 |           34 |           40
     183 |           34 |           41
     184 |           31 |           39
     185 |           34 |           41
     186 |           31 |           40
     187 |           35 |           42
     188 |           36 |           40
     189 |           36 |           41
     190 |           38 |           40
     191 |           35 |           42
     192 |           26 |           38
     193 |           36 |           41
     194 |           35 |           41
     195 |           38 |           43
     196 |           39 |           41
     197 |           35 |           41
     198 |           37 |           41
     199 |           38 |           44
     200 |           29 |           41
     201 |           40 |           44
     202 |           39 |           41
     203 |           34 |           42
     204 |           40 |           42
     205 |           40 |           43
     206 |           32 |           41
     207 |           40 |           43
     208 |           35 |           40
     209 |           37 |           43
     210 |           36 |           43
     211 |           40 |           44
     212 |           38 |           42
     213 |           39 |           43
     214 |           38 |           42
     215 |           38 |           44
     216 |           41 |           43
     217 |           38 |           42
     218 |           37 |           41
     219 |           39 |           45
     220 |           39 |           42
     221 |           40 |           44
     222 |           37 |           43
     223 |           35 |           42
     224 |           33 |           40
     225 |           42 |           44
     226 |           38 |           40
     227 |           36 |           43
     228 |           38 |           41
     229 |           34 |           40
     230 |           38 |           43
     231 |           40 |           44
     232 |           35 |           36
     233 |           35 |           41
     234 |           40 |           44
     235 |           40 |           43
     236 |           34 |           41
     237 |           40 |           44
     238 |           38 |           41
     239 |           38 |           42
     240 |           37 |           41
     241 |           40 |           42
     242 |           31 |           38
     243 |           39 |           43
     244 |           39 |           41
     245 |           36 |           42
     246 |           37 |           39
     247 |           37 |           41
     248 |           38 |           41
     249 |           39 |           44
     250 |           36 |           41
     251 |           37 |           44
     252 |           36 |           39
     253 |           37 |           41
     254 |           36 |           42
     255 |           38 |           42

ENC1 Forward
Model : linear
Fit   : y = 0.255147x + -9.956206
R²    : 0.9871003891768904

ENC2 Forward
Model : linear
Fit   : y = 0.217311x + -2.233967
R²    : 0.959281037241484

ENC1 Backward
Model : linear
Fit   : y = 0.195383x + -4.691873
R²    : 0.9127364407138654

ENC2 Backward
Model : linear
Fit   : y = 0.192446x + 1.029303
R²    : 0.9075488751236774
